year,land,total_farmop,acres_ICPSR,acres_hcoa,ave_age,white,black,other,male,female,w_fullowner,w_partowner,w_tenant,nw_fullowner,nw_partowner,nw_tenants,exp_05,exp_09,exp_10,total_operators,per_over10
1900,,5739657,,,,4970129,746717,22811,,,3026214,420916,1465646,176429,30599,560640,,,,,
1910,,6361502,,,,5437052,893377,31073,,,3159560,548457,1676676,196171,45497,681108,2999760,992468,1802540,5794768,31.10633592
1920,,6453991,147,,,5499707,925710,28574,,,3174675,517820,1740534,193126,40888,718009,2956690,1086458,2184391,6227539,35.07631185
1925,,6371640,143,,,,,,,,,,,,,,2984560,1215291,2018628,6218479,32.46176436
1930,,6295103,151,,,5373703,882852,38548,,,2753187,612887,1954247,159894,43863,714433,2710092,939418,2393650,6043160,39.60924417
1935,,6812350,155,,,5956795,,,,,,,,,,,2909174,1080447,2687621,6677242,40.25046569
1940,,6102417,168,,48,5378913,681790,41714,,,2917255,581678,1844230,168236,33824,520693,2148786,944513,2517295,5610594,44.86681802
1945,,5859169,191,,48.7,5169954,,,,,3126212,629734,1375745,175149,30768,482676,2432860,957489,2336194,5726543,40.7958868
1950,,5388437,213,,48.3,4802520,559980,25937,,,2936960,769751,1072669,154706,55919,374786,1857874,1012262,2194113,5064249,43.32553553
1954,,4782416,251,,49.6,4298766,467656,15994,,,2604730,814112,862342,139978,54068,286897,1010935,1171866,2487488,4670289,53.26197158
1959,,3710503,288,,50.5,3419672,272541,18290,,,2016808,792422,592417,97388,40733,141017,638599,629773,2339976,3608348,64.84895581
1964,1110187000,3157857,332,352,51.3,2957905,184004,15948,,,1739721,747051,453731,78533,34833,86190,611862,469147,1905801,2986810,63.80723916
1969,1062892501,2730250,369,389,51.2,2626403,87393,16454,,,1650290,655379,334075,55430,16228,18848,429456,330645,1385261,2145362,64.57003527
1974,1017030357,2314013,388,440,51.7,2254642,45594,13777,,,1385172,615908,253562,38781,12316,8274,,,,,
1978,1014777234,2257775,429,449,50.3,2199787,37351,20637,2144976,112799,1263752,666086,269949,34150,15026,8812,,,,,
1982,986796579,2240976,427,440,50.5,2186609,33250,21117,2119377,121599,1291808,643156,251645,33965,13093,7309,319890,360458,1097660,1778008,61.73538027
1987,964470625,2087759,451,462,52,2043119,22954,21686,1956118,131641,1210140,599016,233963,28407,9996,6237,249027,303875,1163336,1716238,67.78407191
1992,945531506,1925300,464,491,53.3,1881813,18816,24671,1780144,145156,1085073,586064,210676,26665,10593,6229,227790,258767,1112827,1599384,69.57847521
1997,931795255,1911859,436,487,54.3,1864201,18451,29207,1746757,165102,1117494,562367,184340,29397,11472,6789,219365,263642,1113839,1596846,69.75243699
1997,954752502,2215876,,431,54,2154284,26785,34807,2006092,209784,,,,,,,271369,317910,1252886,1842165,68.01160591
2002,938279056,2128982,,441,55.3,2067379,29090,32513,1891163,237819,1386506,537365,143508,41630,13639,6334,218353,374756,1535873,2128982,72.14119236
2007,922095840,2204792,,418,57.1,2114325,30599,59868,1898583,306209,1454717,526265,133343,67316,15927,7224,223428,359545,1621506,2204479,73.55506675
2012,914527657,2109303,,434,58.3,2012652,33371,63280,1821039,288264,1370470,514429,127753,57881,18641,20129,111243,176461,2359160,2646864,89.13038222
2017,900217576,2042220,,441,58.6,2614526,38447,87480,1941953,798500,1360403,477173,118161,64554,19836,23063,469377,495022,2435435,3399834,71.6339386
