"","FRR_NAME","average","sd","median","negative","positive","perc_neg"
"1","Southern Seaboard",11222891.4893617,24161956.5552713,4734000,139,322,30.1518438177874
"2","Eastern Uplands",2467049.62779156,21182114.7002993,-930000,248,152,62
"3","Basin and Range",8792675.12690355,20033964.6046826,2123000,64,126,33.6842105263158
"4","Fruitful Rim",89701657.1428571,248679586.08032,12062500,59,217,21.3768115942029
"5","Mississippi Portal",21306424.2424242,28377039.546589,11306000,39,125,23.780487804878
"6","Prairie Gateway",23193972.0812183,53077020.1125422,11474500,125,269,31.7258883248731
"7","Northern Great Plains",25722288.8888889,51116509.3052972,16031500,30,150,16.6666666666667
"8","Northern Crescent",15574606.1320755,24363287.2256164,7801000,74,336,18.0487804878049
"9","Heartland",39196121.3235294,43394951.7903173,30307000,30,513,5.52486187845304
